"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BKEP","Blueknight Energy Partners L.P., L.L.C.","6.48","146902487.76","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkep",
"BKEPP","Blueknight Energy Partners L.P., L.L.C.","8.8","265407630.4","n/a","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bkepp",
"BPHX","BluePhoenix Solutions, Ltd.","2.9","19325626.1","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/bphx",
"BONA","Bona Film Group Limited","5.25","98141095.5","18693542","2010","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/bona",
"BRID","Bridgford Foods Corporation","7.74","71019012.42","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/brid",
"BCOV","Brightcove Inc.","12.2","333538569.4","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/bcov",
"BVSN","BroadVision, Inc.","8","37254632","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bvsn",
"BSDM","BSD Medical Corporation","1.49","44332254.59","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/bsdm",
"BSQR","BSQUARE Corporation","2.91","31906907.43","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/bsqr",
"BTUI","BTU International, Inc.","2.32","22077043.44","n/a","1989","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btui",
"BUR","Burcon Nutrascience Corp","5.21","156409451.68","n/a","1992","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/bur",
"CDZI","Cadiz, Inc.","8.2","126599480.2","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cdzi",
"CFNB","California First National Bancorp","16.3","169853872.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfnb",
"CALD","Callidus Software, Inc.","4.55","160209617.75","n/a","2000","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"ABCD","Cambium Learning Group, Inc.","1.03","50466935.75","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CAFI","Camco Financial Corporation","2.2","16429791.4","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cafi",
"CAMT","Camtek Ltd.","1.88","56200022.52","n/a","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CPHC","Canterbury Park Holding Corporation","10.4","43097600","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CPST","Capstone Turbine Corporation","1.01","302562280.14","n/a","1986","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cpst",
"CARB","Carbonite, Inc.","7.53","192950188.35","n/a","1992","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CRDC","Cardica, Inc.","1.618","58893470.358","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/crdc",
"CRME","Cardiome Pharma Corporation","0.3279","20044228.9389","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crme",
"BEAT","CardioNet, Inc.","2.18","54323411.28","n/a","2008","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/beat",
"CSII","Cardiovascular Systems, Inc.","9.93","180738074.88","n/a","1981","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/csii",
"CKEC","Carmike Cinemas, Inc.","12.57","223452075.69","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/ckec",
"CLBH","Carolina Bank Holdings Inc.","7.6","25741542","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/clbh",
"CRRB","Carrollton Bancorp","4.8601","12536083.6188","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/crrb",
"CASM","CAS Medical Systems, Inc.","2","27322384","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/casm",
"CSCD","Cascade Microtech, Inc.","5.75","81278337.25","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CECE","CECO Environmental Corp.","9.19","134077505","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"CELGZ","Celgene Corporation","2.47","0","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/celgz",
"CLDX","Celldex Therapeutics, Inc.","5.84","346265694.64","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/cldx",
"CEMP","Cempra, Inc.","8.5","178812910.5","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemp",
"CEBK","Central Bancorp, Inc","32.24","54516260.24","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cebk",
"CNBKA","Century Bancorp, Inc.","31.86","176773107.24","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbka",
"CERE","Ceres, Inc.","7.8","191052030","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cere",
"CERS","Cerus Corporation","3.3101","181466302.2","n/a","1997","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cers",
"CITZ","CFS Bancorp, Inc.","5.67","61613695.71","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/citz",
"CHRM","Charm Communications Inc.","4.03","43574375","10812500","2010","Technology","Advertising","http://www.nasdaq.com/symbol/chrm",
"CBNK","Chicopee Bancorp, Inc.","14.9","81193527","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cbnk",
"CADC","China Advanced Construction Materials Group, Inc.","0.5","8914732","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","0.25","5540856.75","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CBAK","China BAK Battery, Inc.","0.4451","28404624.4476","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CCCL","China Ceramics Co., Ltd.","2.4999","51075051.9162","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCLU","China Ceramics Co., Ltd.","2.42","0","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/ccclu",
"CCCLW","China Ceramics Co., Ltd.","0.0055","0","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/ccclw",
"NKBP","China Nuokang Bio-Pharmaceutical Inc.","4.7","22727766.5","4835695","2009","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nkbp",
"CREG","China Recycling Energy Corporation","1","46474350","n/a","1996","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
